2000 table name,crosswalk computation field
P30E,POPPCT00
P30F,POPPCT00
P30G,POPPCT00
P30H,POPPCT00
P30I,POPPCT00
P31A,POPPCT00
P31B,POPPCT00
P31C,POPPCT00
P31D,POPPCT00
P31E,POPPCT00
P31F,POPPCT00
P31G,POPPCT00
P31H,POPPCT00
P31I,POPPCT00
P32A,POPPCT00
P32B,POPPCT00
P32C,POPPCT00
P32D,POPPCT00
P32E,POPPCT00
P32F,POPPCT00
P32G,POPPCT00
P32H,POPPCT00
P32I,POPPCT00
P33A,
P33B,
P33C,
P33D,
P33E,
P33F,
P33G,
P33H,
P33I,
P34A,POPPCT00
P34B,POPPCT00
P34C,POPPCT00
P34D,POPPCT00
P34E,POPPCT00
P34F,POPPCT00
P34G,POPPCT00
P34H,POPPCT00
P34I,POPPCT00
P35A,POPPCT00
P35B,POPPCT00
P35C,POPPCT00
P35D,POPPCT00
P35E,POPPCT00
P35F,POPPCT00
P35G,POPPCT00
P35H,POPPCT00
P35I,POPPCT00
PCT1,POPPCT00
PCT2,POPPCT00
PCT3,POPPCT00
PCT4,POPPCT00
PCT5,POPPCT00
PCT6,POPPCT00
PCT7,POPPCT00
PCT8,POPPCT00
PCT9,POPPCT00
PCT10,POPPCT00
PCT11,POPPCT00
PCT12,POPPCT00
PCT13,POPPCT00
PCT14,POPPCT00
PCT15,POPPCT00
PCT16,POPPCT00
PCT17,POPPCT00
PCT12A,POPPCT00
PCT12B,POPPCT00
PCT12C,POPPCT00
PCT12D,POPPCT00
PCT12E,POPPCT00
PCT12F,POPPCT00
PCT12G,POPPCT00
PCT12H,POPPCT00
PCT12I,POPPCT00
PCT12J,POPPCT00
PCT12K,POPPCT00
PCT12L,POPPCT00
PCT12M,POPPCT00
PCT12N,POPPCT00
PCT12O,POPPCT00
PCT13A,POPPCT00
PCT13B,POPPCT00
PCT13C,POPPCT00
PCT13D,POPPCT00
PCT13E,POPPCT00
PCT13F,POPPCT00
PCT13G,POPPCT00
PCT13H,POPPCT00
PCT13I,POPPCT00
PCT15A,POPPCT00
PCT15B,POPPCT00
PCT15C,POPPCT00
PCT15D,POPPCT00
PCT15E,POPPCT00
PCT15F,POPPCT00
PCT15G,POPPCT00
PCT15H,POPPCT00
PCT15I,POPPCT00
PCT17A,POPPCT00
PCT17B,POPPCT00
PCT17C,POPPCT00
PCT17D,POPPCT00
PCT17E,POPPCT00
PCT17F,POPPCT00
PCT17G,POPPCT00
PCT17H,POPPCT00
PCT17I,POPPCT00
H1,HUPCT00
H2,HUPCT00
H3,HUPCT00
H4,HUPCT00
H5,HUPCT00
H6,HUPCT00
H7,HUPCT00
H8,POPPCT00
H9,POPPCT00
H10,POPPCT00
H11,POPPCT00
H12,
H13,HUPCT00
H14,HUPCT00
H15,HUPCT00
H16,HUPCT00
H17,HUPCT00
H18,HUPCT00
H19,HUPCT00
H20,HUPCT00
H11A,POPPCT00
H11B,POPPCT00
H11C,POPPCT00
H11D,POPPCT00
H11E,POPPCT00
H11F,POPPCT00
H11G,POPPCT00
H11H,POPPCT00
H11I,POPPCT00
H12A,
H12B,
H12C,
H12D,
H12E,
H12F,
H12G,
H12H,
H12I,
H15A,HUPCT00
H15B,HUPCT00
H15C,HUPCT00
H15D,HUPCT00
H15E,HUPCT00
H15F,HUPCT00
H15G,HUPCT00
H15H,HUPCT00
H15I,HUPCT00
H16A,HUPCT00
H16B,HUPCT00
H16C,HUPCT00
H16D,HUPCT00
H16E,HUPCT00
H16F,HUPCT00
H16G,HUPCT00
H16H,HUPCT00
H16I,HUPCT00
